# Every counted claim the tracked TraceQL documents make that the
# tree can answer, with the pattern that finds it and the derivation that
# answers it. measure/claims_check.py runs them: EVERY match of a pattern is
# compared, a pattern that finds nothing is a failure, and the totals it prints
# are the rows it ran.
#
# What this file is: the judgement about which numbers are set counts. No
# program makes that judgement, so a counted claim nobody has put here is
# unchecked — and this file, not a sentence in a document, is what a reader
# reads to find out what is checked.
#
# A pattern is applied to the document with its line breaks turned into spaces,
# so a sentence that wrapped is still one sentence. Its one capture group is the
# number.
#
# id	derivation	document	pattern
corpus_accepted_table	corpus_parsed	functional-requirements.md	\| the parser and the validator accept \| (\d+) \|
corpus_accepted_si	corpus_parsed	server-implementation.md	of the (\d+) queries the parser and the
planner_refused_table	corpus_planner_refused	functional-requirements.md	\| of those, the API refuses at plan time \(`400`\) \| \*\*(\d+)\*\* \|
planner_refused_si	corpus_planner_refused	server-implementation.md	refuses \*\*(\d+)\*\* at plan time
planner_refused_index	corpus_planner_refused	functional-requirements.md	at parse or validation, (\d+) at plan time
served_table	corpus_served	functional-requirements.md	\| the API serves \| \*\*(\d+)\*\* \|
served_si	corpus_served	server-implementation.md	the API serves \*\*(\d+)\*\*
served_index	corpus_served	functional-requirements.md	TraceQL corpus\*\*: (\d+) the API serves
served_tc8	corpus_served	functional-requirements.md	\*\*(\d+) of 138 and \d+ of \d+\*\*
api_agree_table	corpus_api_agree	functional-requirements.md	\| whose route statement's answer equals the independent check \| \*\*(\d+)\*\* \|
membership_agree_table	corpus_membership_agree	functional-requirements.md	\| whose membership answer equals the independent check \| \*\*(\d+)\*\* \|
parser_refused_table	corpus_parser_refused	functional-requirements.md	\| the parser or the validator refuses \(`400`\) \| (\d+) \|
parser_refused_index	corpus_parser_refused	functional-requirements.md	it refuses — (\d+) at parse or validation
parser_refused_tc9	corpus_parser_refused	functional-requirements.md	every query the API refuses: the (\d+) of `reject/`
refused_total_index	corpus_refused_total	functional-requirements.md	literal answer, and (\d+) it refuses
refused_total_tc9	corpus_refused_total	functional-requirements.md	envelope for all (\d+), with the message
corpus_all_preamble	corpus_all	functional-requirements.md	all (\d+) queries of
design_si_first	design_queries	server-implementation.md	so \*\*(\d+) rules in this table have no corpus query
design_si_second	design_queries	server-implementation.md	those (\d+) queries are `measure/catalogue-extra\.tsv`
design_si_third	design_queries	server-implementation.md	\*\*\d+ of the (\d+) are the row below
design_tc8_named	design_queries	functional-requirements.md	\*\*and the (\d+) of `measure/catalogue-extra\.tsv`\*\*
design_tc8_agree	design_queries	functional-requirements.md	\*\*138 of 138 and (\d+) of \d+\*\*
design_tc8_agree2	design_queries	functional-requirements.md	\*\*138 of 138 and \d+ of (\d+)\*\*
cases_total_preamble	cases_total	functional-requirements.md	\*\*(\d+) cases\*\*:
cases_guard_kinds	cases_guard	functional-requirements.md	\*\*guard\*\* \((\d+) cases\)
cases_guard_list	cases_guard	functional-requirements.md	The (\d+) guards are
cases_new_kinds	cases_new	functional-requirements.md	\*\*new\*\* \((\d+) cases\)
cases_schema	cases_schema_and_storage	functional-requirements.md	\*\*\d+ cases\*\*: (\d+) schema and storage
cases_retention	cases_retention	functional-requirements.md	schema and storage plus (\d+) retention
cases_window	cases_window	functional-requirements.md	\(§8\.1\), (\d+) window
cases_statement_count	cases_statement_count_and_pushdown	functional-requirements.md	\(§8\.2\), (\d+) statement-count and pushdown
cases_constructs	cases_compiler_constructs	functional-requirements.md	plus (\d+) compiler constructs
cases_tag	cases_tag	functional-requirements.md	\(§8\.3\), (\d+) tag
cases_write	cases_write_path	functional-requirements.md	\(§8\.4\), (\d+) write path
