# One line per rule the shared parser decides, with the tree it must produce,
# written out by hand from the grammar rather than captured from the parser.
#
# `catalogue_parse.py` is the only module the catalogue's two sides share, so a
# wrong rule THERE moves both answers together and the comparison stays green
# (review round 5). This file is the second check that makes such a change
# visible: `catalogue.py` parses each query below and fails if the tree differs.
# `measure/perturbations.tsv` plants one wrong rule at a time in the parser and
# requires exactly that.
#
# The expected tree is JSON; key order does not matter, the check compares the
# decoded objects. A tab never appears inside a query or a tree here.
#
# name	traceql	expected tree	what it pins
empty_filter	{}	{"spanset":{"k":"filter","body":null},"pipeline":[],"hints":[]}	an empty filter body is None, not a true literal
attr_eq_number	{ .a = 1 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}},"pipeline":[],"hints":[]}	a number literal keeps its digits as written; the type decides nothing here
duration_ms	{ duration > 1.5ms }	{"spanset":{"k":"filter","body":{"k":"bin","op":">","l":{"k":"intrinsic","name":"duration"},"r":{"k":"lit","t":"duration","v":"1.5","unit":"ms"}}},"pipeline":[],"hints":[]}	a duration parses to its digits and its UNIT SPELLING; how many nanoseconds that is belongs to each side
duration_minutes	{ duration > 5m }	{"spanset":{"k":"filter","body":{"k":"bin","op":">","l":{"k":"intrinsic","name":"duration"},"r":{"k":"lit","t":"duration","v":"5","unit":"m"}}},"pipeline":[],"hints":[]}	`m` is minutes and `ms` is milliseconds: the two spellings must not collapse
duration_micro_sign	{ duration > 1µs }	{"spanset":{"k":"filter","body":{"k":"bin","op":">","l":{"k":"intrinsic","name":"duration"},"r":{"k":"lit","t":"duration","v":"1","unit":"µs"}}},"pipeline":[],"hints":[]}	the non-ASCII spelling of microseconds is a unit of its own
duration_ns	{ duration >= 100ns }	{"spanset":{"k":"filter","body":{"k":"bin","op":">=","l":{"k":"intrinsic","name":"duration"},"r":{"k":"lit","t":"duration","v":"100","unit":"ns"}}},"pipeline":[],"hints":[]}	the smallest unit
duration_leading_dot	{ duration > .5s }	{"spanset":{"k":"filter","body":{"k":"bin","op":">","l":{"k":"intrinsic","name":"duration"},"r":{"k":"lit","t":"duration","v":".5","unit":"s"}}},"pipeline":[],"hints":[]}	a duration may be written with no digit before the point
string_hex_escape	{ .a = "\x41\x7a" }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"string","v":"Az"}}},"pipeline":[],"hints":[]}	a two-digit hexadecimal escape
string_octal_escape	{ .a = "\101\012" }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"string","v":"A\n"}}},"pipeline":[],"hints":[]}	a three-digit octal escape, the second one a newline
string_unicode_escape	{ .a = "\u00e9" }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"string","v":"é"}}},"pipeline":[],"hints":[]}	a four-digit unicode escape
string_backtick_raw	{ .a = `x\ny` }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"string","v":"x\\ny"}}},"pipeline":[],"hints":[]}	a backtick string has no escapes at all: the backslash and the n stay two characters
min_int	{ .a = minInt }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"-9223372036854775808"}}},"pipeline":[],"hints":[]}	`minInt` is a literal with a value, and the value is the smallest signed 64-bit integer
max_int	{ .a = maxInt }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"9223372036854775807"}}},"pipeline":[],"hints":[]}	and the largest
status_keyword	{ status = error }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"intrinsic","name":"status"},"r":{"k":"lit","t":"status","v":"error"}}},"pipeline":[],"hints":[]}	a status keyword parses to its NAME; the code it stands for is each side’s own
kind_keyword	{ kind = server }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"intrinsic","name":"kind"},"r":{"k":"lit","t":"kind","v":"server"}}},"pipeline":[],"hints":[]}	the same for a kind keyword
bool_keyword	{ .a = true }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"bool","v":true}}},"pipeline":[],"hints":[]}	`true` is a boolean literal, not an attribute named true
nil_keyword	{ .a != nil }	{"spanset":{"k":"filter","body":{"k":"bin","op":"!=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"nil","v":null}}},"pipeline":[],"hints":[]}	`nil` is its own literal type, which is how presence is written
precedence_add_mul	{ .a = 1 + 2 * 3 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"bin","op":"+","l":{"k":"lit","t":"number","v":"1"},"r":{"k":"bin","op":"*","l":{"k":"lit","t":"number","v":"2"},"r":{"k":"lit","t":"number","v":"3"}}}}},"pipeline":[],"hints":[]}	multiplication binds tighter than addition
precedence_pow_right	{ .a = 2 ^ 3 ^ 2 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"bin","op":"^","l":{"k":"lit","t":"number","v":"2"},"r":{"k":"bin","op":"^","l":{"k":"lit","t":"number","v":"3"},"r":{"k":"lit","t":"number","v":"2"}}}}},"pipeline":[],"hints":[]}	exponentiation groups to the right
negative_number_literal	{ .a = -2 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"-2"}}},"pipeline":[],"hints":[]}	a minus sign against digits is part of the number, not an operator
unary_minus_on_field	{ .a = - .b }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"unary","op":"-","e":{"k":"attr","scope":"unscoped","key":"b"}}}},"pipeline":[],"hints":[]}	a minus sign against a field is the unary operator
unary_not	{ !(.a = 1) }	{"spanset":{"k":"filter","body":{"k":"unary","op":"!","e":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}}},"pipeline":[],"hints":[]}	negation of a parenthesised comparison
struct_descendant	{ .a = 1 } >> { .b = 2 }	{"spanset":{"k":"struct","op":"descendant","mod":"plain","l":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}},"r":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"b"},"r":{"k":"lit","t":"number","v":"2"}}}},"pipeline":[],"hints":[]}	`>>` is descendant, not child
struct_neg_child	{ .a = 1 } !> { .b = 2 }	{"spanset":{"k":"struct","op":"child","mod":"neg","l":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}},"r":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"b"},"r":{"k":"lit","t":"number","v":"2"}}}},"pipeline":[],"hints":[]}	`!>` is the child relation with the negating modifier
struct_union_sibling	{ .a = 1 } &~ { .b = 2 }	{"spanset":{"k":"struct","op":"sibling","mod":"union","l":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}},"r":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"b"},"r":{"k":"lit","t":"number","v":"2"}}}},"pipeline":[],"hints":[]}	`&~` is the sibling relation with the union modifier
