# One rule per row. `find` is replaced by `replace` in ONE file, on ONE side,
# and `measure/perturb_check.py` then runs the whole catalogue. A row marked
# `red` must produce at least one disagreement; a row marked `not_discriminated`
# must produce none, and the catalogue document says why no query can tell that
# rule apart. find/replace are JSON strings.
#
# Rows whose file is `catalogue_parse.py` are the SHARED module. A wrong rule
# there moves both answers together, so no comparison can see it; what makes
# those rows go red is `measure/parse_vectors.tsv`, the tree each rule must
# produce written out by hand. That is why what a duration unit is worth in
# nanoseconds is no longer in that module: review round 5 changed the shared
# `ms` multiplier from 10^6 to 10^3 and every answer still agreed.
id	side	file	expect	rule	find	replace
status_code_render	renderer	catalogue_render.py	red	the code a status keyword stands for	"STATUS_CODE = {'unset': 0, 'ok': 1, 'error': 2}"	"STATUS_CODE = {'unset': 0, 'ok': 1, 'error': 1}"
status_code_interp	interpreter	catalogue_interp.py	red	the code a status keyword stands for	"STATUS_CODE = {'unset': 0, 'ok': 1, 'error': 2}"	"STATUS_CODE = {'unset': 0, 'ok': 1, 'error': 1}"
kind_code_render	renderer	catalogue_render.py	red	the code a kind keyword stands for	"'internal': 1, 'server': 2, 'client': 3,"	"'internal': 1, 'server': 3, 'client': 3,"
kind_code_interp	interpreter	catalogue_interp.py	red	the code a kind keyword stands for	"'internal': 1, 'server': 2, 'client': 3,"	"'internal': 1, 'server': 3, 'client': 3,"
unscoped_order_render	renderer	catalogue_render.py	red	the order an unscoped read tries the scopes in	"UNSCOPED_ORDER = ('span', 'resource', 'event', 'link', 'instrumentation')"	"UNSCOPED_ORDER = ('resource', 'span', 'event', 'link', 'instrumentation')"
unscoped_order_interp	interpreter	catalogue_interp.py	red	the order an unscoped read tries the scopes in	"UNSCOPED_ORDER = ('span', 'resource', 'event', 'link', 'instrumentation')"	"UNSCOPED_ORDER = ('resource', 'span', 'event', 'link', 'instrumentation')"
climb_bound_render	renderer	catalogue_render.py	red	the structural climb follows at most MAX_DEPTH parent links	"MAX_DEPTH = 64               # PULSUS_TRACEQL_MAX_DEPTH"	"MAX_DEPTH = 1               # PULSUS_TRACEQL_MAX_DEPTH"
climb_bound_interp	interpreter	catalogue_interp.py	red	the structural climb follows at most MAX_DEPTH parent links	"MAX_DEPTH = 64\n"	"MAX_DEPTH = 1\n"
gte_render	renderer	catalogue_render.py	red	`>=` is rendered as `>=`	"'>=': '>='}.get(op)"	"'>=': '>'}.get(op)"
gte_interp	interpreter	catalogue_interp.py	red	`>=` evaluates as `>=`	"'>': lhs > rhs, '>=': lhs >= rhs}[op]"	"'>': lhs > rhs, '>=': lhs > rhs}[op]"
neq_missing_render	renderer	catalogue_render.py	red	`!=` also matches a span lacking the key	"out = 'true' if op in ('!=', '!~') else 'false'"	"out = 'false'"
neq_missing_interp	interpreter	catalogue_interp.py	red	`!=` also matches a span lacking the key	"if lhs is None: return op in ('!=', '!~')"	"if lhs is None: return False"
regex_anchor_render	renderer	catalogue_render.py	red	a regex is anchored at both ends	"base = f\"match({self.attr_typed(a, 'String')}, '^(?:{lit['v']})$')\""	"base = f\"match({self.attr_typed(a, 'String')}, '{lit['v']}')\""
regex_anchor_interp	interpreter	catalogue_interp.py	red	a regex is anchored at both ends	"if op == '=~': return bool(re.fullmatch(rhs, str(lhs)))"	"if op == '=~': return bool(re.search(rhs, str(lhs)))"
truthiness_render	renderer	catalogue_render.py	red	a bare attribute is truthiness, not presence	"else self.pred({'k': 'bin', 'op': '=', 'l': e, 'r': {'k': 'lit', 't': 'bool', 'v': True}})"	"else self.pred({'k': 'bin', 'op': '=', 'l': e, 'r': {'k': 'lit', 't': 'bool', 'v': False}})"
truthiness_span_scope_render	renderer	catalogue_render.py	red	a bare SPAN-SCOPED attribute is truthiness	"return f\"coalesce({self.attr_typed(e, 'Bool')} = true, false)\" if e['scope'] in ('span', 'instrumentation') \\"	"return f\"dynamicType(attrs.{path(e['key'])}) != 'None'\" if e['scope'] in ('span', 'instrumentation') \\"
truthiness_interp	interpreter	catalogue_interp.py	red	a bare attribute is truthiness, not presence	"return got is not None and got[0] == 'b' and got[1] is True"	"return got is not None"
service_column_render	renderer	catalogue_render.py	red	`resource.service.name` is answered from the span column	"return f\"service {sqlop} {self.lit_sql(lit)}\""	"return f\"name {sqlop} {self.lit_sql(lit)}\""
service_column_interp	interpreter	catalogue_interp.py	red	`resource.service.name` is answered from the span column	"if s_ == 'resource' and k == 'service.name': return row['service']"	"if s_ == 'resource' and k == 'service.name': return row['name']"
child_render	renderer	catalogue_render.py	red	`{A} > {B}`: B is a child of an A span	"keep = {'child': f\"arrayFilter(x -> has({ids}, x.2), {bsp})\","	"keep = {'child': f\"arrayFilter(x -> has({ids}, x.1), {bsp})\","
child_interp	interpreter	catalogue_interp.py	red	`{A} > {B}`: B is a child of an A span	"partners = [a for a in A if a['trace_id'] == b['trace_id'] and a['span_id'] == b['parent_span_id']]"	"partners = [a for a in A if a['trace_id'] == b['trace_id'] and a['parent_span_id'] == b['span_id']]"
sibling_render	renderer	catalogue_render.py	red	a sibling is not the span itself	"'sibling': f\"arrayFilter(x -> has({par}, x.2) AND NOT has({ids}, x.1), {bsp})\"}[op]"	"'sibling': f\"arrayFilter(x -> has({par}, x.2), {bsp})\"}[op]"
sibling_interp	interpreter	catalogue_interp.py	red	a sibling is not the span itself	"and a['parent_span_id'] == b['parent_span_id'] and a['span_id'] != b['span_id']]"	"and a['parent_span_id'] == b['parent_span_id']]"
union_render	renderer	catalogue_render.py	red	a union form returns both participating sides	"hit = keep if mod != 'union' else f\"arrayConcat({keep}, {partner})\""	"hit = keep"
union_interp	interpreter	catalogue_interp.py	red	a union form returns both participating sides	"ids = {b['span_id'] for b, _ in pairs} | {a['span_id'] for _, ps in pairs for a in ps}"	"ids = {b['span_id'] for b, _ in pairs}"
descendant_interp	interpreter	catalogue_interp.py	red	`>>` climbs past the first parent	"anc = {(x['trace_id'], x['span_id']) for x in self.ancestors(b)}"	"anc = {(x['trace_id'], x['span_id']) for x in self.ancestors(b, bound=1)}"
limit_render	renderer	catalogue_render.py	red	a search returns at most LIMIT traces	"LIMIT = 20                   # the search route's trace limit"	"LIMIT = 2                   # the search route's trace limit"
limit_interp	interpreter	catalogue_interp.py	red	a search returns at most LIMIT traces	"LIMIT = 20\n"	"LIMIT = 2\n"
spss_render	renderer	catalogue_render.py	red	a spanset carries at most SPSS spans	"SPSS = 3                     # spans per spanset"	"SPSS = 2                     # spans per spanset"
spss_interp	interpreter	catalogue_interp.py	red	a spanset carries at most SPSS spans	"SPSS = 3\n"	"SPSS = 2\n"
trace_order_render	renderer	catalogue_render.py	red	the traces come back newest first	"f\"FROM {detail}\\n{join}\\nORDER BY m.last DESC, m.trace_id ASC\")"	"f\"FROM {detail}\\n{join}\\nORDER BY m.last ASC, m.trace_id ASC\")"
