# Every mention of the results directory in every tracked script under
# measure/, with what it does there. The rows are not maintained by hand:
# measure/claims_check.py re-derives them from the tree and fails if this file
# carries a line that is gone, or misses one that is there. The kind and the
# note are the part a search cannot decide, and are why this file exists rather
# than a sentence in a document claiming to have looked everywhere.
#
# A row is keyed on the LINE ITSELF, never on its number: a number moves
# whenever anything above it is edited, and a column of hand-kept numbers is the
# same defect one level down.
#
# Three kinds: `read` and `write` are what they say; `text` is a comment, a
# docstring or a path compared as a string, which moves no data.
#
# file	kind	what it does	the line
catalogue.py	text	the comment that says why the file list exists	# `results/catalogue-outputs.txt`. `measure/reproduce_check.py` compares exactly
catalogue.py	read	the perturbation run, for the rules no query can tell apart	for _l in open(f'{OUT}/results/perturbations.tsv'):
catalogue.py	write	the run’s own result JSON	open(wrote(f'{OUT}/results/catalogue.json'), 'w'), indent=1)
catalogue.py	text	a sentence of the generated catalogue document	`results/perturbations.tsv` is its output, and `docs/TraceQL/measure/README.md`
catalogue.py	write	the list of files this run wrote, opened two lines below	MANIFEST = f'{OUT}/results/catalogue-outputs.txt'
catalogue.py	text	the line the run prints when it finishes	print(f'documents written, {len(WROTE)} files listed in results/catalogue-outputs.txt')
claims_check.py	read	the storage table, for the tag-name catalog's row count	'tag_names_rows': lambda: tsv_cell(f'{HERE}/results/storage.tsv', 'tag_names', 'rows'),
claims_check.py	text	the heading of the rule below	# every mention of the results directory, classified in a committed table. The
claims_check.py	text	the same comment	# pattern is the directory NAME, not `results/`: `R=$HERE/results` names it too,
claims_check.py	text	the search pattern itself, which is an occurrence like any other	if re.search(r'\bresults\b|\$R/|\{R\}/', line):
claims_check.py	read	this table, to compare it with the tree	table = Counter((r.split('\t')[0], r.split('\t')[3]) for r in rows_of(f'{HERE}/results-inventory.tsv'))
claims_check.py	text	the message the rule prints	problems.append(f'results-inventory.tsv does not carry this line of {key[0]}, which names the '
claims_check.py	text	the same message	f'results directory — classify it as a read or a write: {key[1][:100]}')
claims_check.py	text	the other message	problems.append(f'results-inventory.tsv carries a line of {key[0]} that is no longer there: {key[1][:100]}')
